n,date,domain,lang,title,url,article_kind,primary_voice,voice_name,voice_affiliation,stance,claim_strength,predicted_scope,timeframe,stated_probability,p_full,brier,score,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
47,2021-12-08,rand.org,en,expect shock and awe if russia invades ukraine,https://rand.org/blog/2021/12/expect-shock-and-awe-if-russia-invades-ukraine.html,analysis,author,William Courtney and Peter Wilson,RAND Corporation,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"If Russia were to invade Ukraine, it would likely employ massive cyber and electronic warfare tools and long-range PGMs. The aim would be to create 'shock and awe,' causing Ukraine's defenses or will to fight to collapse.","If Russia were to invade Ukraine, it would likely employ massive cyber and electronic warfare tools and long-range PGMs. The aim would be to create 'shock and awe,' causing Ukraine's defenses or will to fight to collapse.","RAND analysts assess that Russia may be planning a full-scale invasion of Ukraine using shock-and-awe tactics, and analyze likely Ukrainian resistance and Western responses, treating invasion as a plausible contingency.",True,live,
48,2021-12-12,understandingwar.org,en,Putin's Likely Courses of Action in Ukraine - Part 2 | Institute for the Study of War,https://understandingwar.org/report/putins-likely-courses-action-ukraine-part-2,analysis,author,"Frederick W. Kagan, Nataliya Bugayova, George Barros, Kateryna Stepanenko, and Mason Clark",Institute for the Study of War,-0.7,0.85,limited_donbas,this winter (2021-2022),,0.15,0.722,28,no_invasion,"We continue to assess for all these reasons that Putin does not, in fact, intend to invade unoccupied Ukraine this winter despite the continued build-up of Russian forces in preparation to do so.","We continue to assess for all these reasons that Putin does not, in fact, intend to invade unoccupied Ukraine this winter despite the continued build-up of Russian forces in preparation to do so.","ISW analysts (Kagan et al.) assess Putin is very unlikely to launch a full-scale invasion of unoccupied Ukraine this winter, but likely to deploy forces to Belarus and possibly conduct limited operations in Donbas or a land-bridge operation to Crimea.",True,live,
49,2021-12-13,unian.ua,uk,Путін злякався озброєнь НАТО в Україні та закликав терміново почати переговори,https://unian.ua/world/putin-zlyakavsya-ozbroyen-nato-v-ukrajini-ta-zaklikav-terminovo-pochati-peregovori-novini-svitu-11641102.html,news,official_russian,Vladimir Putin,Kremlin,0.3,0.4,unclear,unspecified,,0.65,0.122,88,invasion,"Путін дорікнув країнам НАТО ""активним військовим ""освоєнням"" території України, що створює пряму загрозу безпеці Росії"". При цьому він заявив про необхідність терміново почати переговори, щоб виключити ""подальше просування НАТО на схід"".","Putin reproached NATO countries for 'active military development' of Ukrainian territory, which creates a direct threat to Russian security. He stated the need to urgently begin negotiations to exclude 'further NATO expansion eastward'.","Putin expresses concern about NATO military presence in Ukraine and demands urgent negotiations, while Johnson urges de-escalation; the article does not directly assess invasion likelihood but frames Putin's demands as reactive to NATO threats.",True,live,
50,2021-12-13,kyivpost.com,en,"Ukrainian World Congress President Fears ""Full Invasion of Ukraine"" - KyivPost",https://kyivpost.com/ukraine-politics/ukrainian-world-congress-president-fears-full-invasion-of-ukraine.html,news,official_ukrainian,Paul Grod,Ukrainian World Congress,0.75,0.7,full_scale,unspecified,,0.875,0.016,98,invasion,"With as many as 175,000 Russian troops reportedly approaching Ukraine's borders, the head of the Ukrainian World Congress (UWC) fears that Russian President Vladimir Putin has ""created the environment for a full invasion of Ukraine.""","With as many as 175,000 Russian troops reportedly approaching Ukraine's borders, the head of the Ukrainian World Congress (UWC) fears that Russian President Vladimir Putin has ""created the environment for a full invasion of Ukraine.""","Paul Grod, Ukrainian World Congress president, fears Putin has created conditions for a full-scale invasion of Ukraine, citing 175,000 troops at borders and Putin's imperial ambitions; Canadian military leadership urges caution on escalation.",True,live,
51,2021-12-13,atlanticcouncil.org,en,Memo to the international media: Putin has already invaded Ukraine,https://atlanticcouncil.org/blogs/ukrainealert/memo-to-the-international-media-putin-has-already-invaded-ukraine,opinion,author,Peter Dickinson,Atlantic Council,0.85,0.9,full_scale,imminent / weeks,,0.925,0.006,99,invasion,"What Putin is currently threatening is not the invasion of Ukraine, but rather the escalation of an invasion that has been underway since February 2014... With the prospect of a major European war now looming over the continent, this needs to change.","What Putin is currently threatening is not the invasion of Ukraine, but rather the escalation of an invasion that has been underway since February 2014... With the prospect of a major European war now looming over the continent, this needs to change.","Peter Dickinson (Atlantic Council) argues that Putin has already invaded Ukraine (Crimea 2014, Donbas ongoing) and is now threatening escalation to full-scale war, with a major European conflict looming in coming weeks; he criticizes international media for treating this as a hypothetical future invasion rather than an ongoing aggression.",True,live,
52,2021-12-13,bbc.co.uk,en,Boris Johnson warns Vladimir Putin of deep concern over Ukraine,https://bbc.co.uk/news/uk-politics-59641959,news,official_western,Boris Johnson,UK Prime Minister / Downing Street,0.55,0.6,full_scale,end of January 2022,,0.775,0.051,95,invasion,Western powers are desperate to deter Vladimir Putin from invading Ukraine. They do not know if that is his intention. But they believe he has enough military forces massed to the north and east of Ukraine to invade if he wants to.,Western powers are desperate to deter Vladimir Putin from invading Ukraine. They do not know if that is his intention. But they believe he has enough military forces massed to the north and east of Ukraine to invade if he wants to.,Boris Johnson warns Putin of consequences for destabilising action; Western officials believe Russia has military capacity to invade but are uncertain of Putin's actual intentions; Ukrainian authorities suggest offensive possible by end of January.,True,live,
53,2021-12-14,jamestown.org,en,The Russian Military Buildup Around Ukraine: Bluff Versus Intention,https://jamestown.org/program/the-russian-military-buildup-around-ukraine-bluff-versus-intention,analysis,author,Jamestown Foundation analyst (unnamed),Jamestown Foundation,-0.65,0.7,limited_donbas,unspecified,,0.175,0.681,32,no_invasion,"Thus, the current Russian military buildup around Ukraine is more likely to be a bluff and example of further psychological pressure on Ukraine and NATO rather than a genuine intention to invade.","Thus, the current Russian military buildup around Ukraine is more likely to be a bluff and example of further psychological pressure on Ukraine and NATO rather than a genuine intention to invade.","Jamestown Foundation analyst argues the Russian military buildup is more likely a bluff for psychological pressure rather than genuine invasion intent, citing Ukrainian military assessments that current force levels are insufficient for full-scale invasion and lack of offensive preparation indicators.",True,wayback,20211214000707
54,2021-12-14,themoscowtimes.com,en,2 in 5 Russians Believe War With Ukraine Likely – Poll,https://themoscowtimes.com/2021/12/14/2-in-5-russians-believe-war-with-ukraine-likely-poll-a75816,poll,poll,Levada Center,Levada Center (independent Russian polling organization),0.39,0.95,unclear,unspecified,0.39,0.39,0.372,63,no_invasion,"According to the Levada Center, 39% of Russian respondents believe that war with Ukraine is either highly likely or unavoidable. Another 38% said that Russian-Ukrainian war is unlikely.","According to the Levada Center, 39% of Russian respondents believe that war with Ukraine is either highly likely or unavoidable. Another 38% said that Russian-Ukrainian war is unlikely.","Levada Center poll finds 39% of Russians believe war with Ukraine is likely or unavoidable, while 38% consider it unlikely and 15% rule it out; respondents split on blame between US/NATO and Ukraine.",True,live,
55,2021-12-14,iz.ru,ru,Французы заподозрили США в подготовке украинского вторжения в Донбассе,https://iz.ru/1264265/2021-12-14/frantcuzy-zapodozrili-ssha-v-podgotovke-ukrainskogo-vtorzheniia-v-donbasse,news,mixed,French internet commenters; Dmitry Peskov,Le Figaro readers; Kremlin,-0.7,0.6,limited_donbas,unspecified,,0.15,0.722,28,no_invasion,"По мнению пользователя mitsu hirato, США продумывают вторжение Украины в Донбасс, а РФ готовится им противостоять.","According to user mitsu hirato, the USA is planning Ukraine's invasion of Donbas, and Russia is preparing to counter it.","French internet commenters and Kremlin spokesman Peskov suggest the West is fabricating hysteria about Russian invasion plans; some commenters speculate the US is instead orchestrating a Ukrainian incursion into Donbas, which Russia would counter.",True,live,
56,2021-12-14,fpri.org,en,tensions between russia and ukraine how likely is another war,https://fpri.org/article/2021/12/tensions-between-russia-and-ukraine-how-likely-is-another-war,analysis,author,FPRI (Foreign Policy Research Institute),FPRI,0.65,0.7,unclear,spring 2022 or summer 2022,,0.825,0.031,97,invasion,"With no direct talks in sight, Ukraine is bracing itself for an escalation in the next few months. Though media reports have said that Russia could launch an attack in late January or early February, the ongoing buildup is highly visible and therefore lacks the 'element of surprise.' As such, Russia may opt to leave its forces in place for months, in the hopes that Ukraine can only remain on high alert for so long and launch another invasion on short notice in the spring or summer of next year.","With no direct talks in sight, Ukraine is bracing itself for an escalation in the next few months. Though media reports have said that Russia could launch an attack in late January or early February, the ongoing buildup is highly visible and therefore lacks the 'element of surprise.' As such, Russia may opt to leave its forces in place for months, in the hopes that Ukraine can only remain on high alert for so long and launch another invasion on short notice in the spring or summer of next year.","FPRI analysis assesses that Russia's military buildup and unfulfilled objectives make escalation likely in spring/summer 2022, though the scope (limited vs. full-scale) remains uncertain; Russia may pursue limited operations or a major conventional offensive depending on cost-benefit calculations.",True,wayback,20211214163749
57,2021-12-14,rusi.org,en,how russias black sea fleet could change equation ukraine,https://rusi.org/explore-our-research/publications/commentary/how-russias-black-sea-fleet-could-change-equation-ukraine,analysis,author,Dr Sidharth Kaushal and Sam Cranny-Evans,RUSI (Royal United Services Institute),0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"In a worst-case scenario, the Russian build-up on the ground may be a feint for a highly consequential amphibious assault. Even if this is not the case, the fleet will likely play an important role in any Russian strike campaign against targets across the breadth of Ukraine.","In a worst-case scenario, the Russian build-up on the ground may be a feint for a highly consequential amphibious assault. Even if this is not the case, the fleet will likely play an important role in any Russian strike campaign against targets across the breadth of Ukraine.","RUSI analysts assess that Russia's Black Sea Fleet capabilities suggest potential for significant military escalation in Ukraine, including possible amphibious assault on Odessa or precision strikes across the country, though framed as contingent scenarios requiring specific preconditions.",True,live,
58,2021-12-15,politico.eu,en,Draghi plays down risk of Putin invading Ukraine,https://politico.eu/article/italy-draghi-argue-putin-seek-diplomacy-stand-off-ukraine,news,official_western,Mario Draghi,Italian Government,-0.65,0.7,none,unspecified,,0.175,0.681,32,no_invasion,"Draghi, however, argued Russian President Vladimir Putin's conduct did not indicate someone preparing 'for action.' Instead, he said, Putin appears to want to negotiate.","Draghi, however, argued Russian President Vladimir Putin's conduct did not indicate someone preparing 'for action.' Instead, he said, Putin appears to want to negotiate.","Italian PM Draghi downplays invasion risk, arguing Putin's behavior suggests diplomatic intent rather than military preparation, contrasting with U.S. and allied warnings of Russian troop buildup.",True,live,
59,2021-12-15,tass.ru,ru,"Греф назвал слухи о возможном ""вторжении"" России на Украину большой пиар-войной",https://tass.ru/politika/13209773,news,official_russian,German Gref,Sberbank,-0.85,0.9,none,unspecified,,0.075,0.856,14,no_invasion,"Серьезность российского вторжения в Украину видно только из Соединенных Штатов Америки. Из России она не видна, не чувствуется, и мы все это не рассматриваем как серьезный риск. Я бы сказал, мы видим это как большую пиар-войну.","The seriousness of a Russian invasion of Ukraine is only visible from the United States. From Russia it is not visible, not felt, and we do not consider it a serious risk. I would say we see this as a major PR war.","German Gref, head of Sberbank, dismisses invasion rumors as a US PR campaign, stating Russia sees no serious risk and feels no tension regarding Ukraine.",True,wayback,20211215155253
60,2021-12-15,rusi.org,en,sanctioning russian aggression west must accept economic self harm,https://rusi.org/explore-our-research/publications/commentary/sanctioning-russian-aggression-west-must-accept-economic-self-harm,analysis,author,Tom Keatinge,"RUSI (Royal United Services Institute), Centre for Finance and Security",0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"As Russian military assets mass on the border with Ukraine and tensions rise between the Kremlin and Western allies, 'economic measures' are emerging as one of the West's biggest threats aimed at deterring military advances and inflicting 'severe consequences' on the Russian economy.","As Russian military assets mass on the border with Ukraine and tensions rise between the Kremlin and Western allies, 'economic measures' are emerging as one of the West's biggest threats aimed at deterring military advances and inflicting 'severe consequences' on the Russian economy.","Tom Keatinge (RUSI) argues that Western threats of severe sanctions presume Russian military aggression against Ukraine is likely, and warns the West must prepare for significant economic self-harm if sanctions are to be credible deterrents.",True,live,
61,2021-12-15,dw.com,en,"SWIFT, оточення Путіна й олігархи: чи зупинять нові санкції вторгнення Росії в Україну? (відео) | Новини й аналітика зі світу політики: оцінки, прогнози, коментарі з Німеччини та Європи | DW",https://dw.com/uk/swift-otochennia-putina-y-oliharkhy-chy-zupyniat-novi-sanktsii-vtorhnennia-rosii-v-ukrainu/a-60121141,news,official_western,USA and European Union,"US State Department, European Union",0.6,0.5,full_scale,unspecified,,0.8,0.04,96,invasion,"Нові жорсткі санкції проти Росії, якщо Кремль наважиться на військове вторгнення в Україну. Таку можливість нині активно обговорюють США і Євросоюз.",New strict sanctions against Russia if the Kremlin dares to undertake a military invasion of Ukraine. This possibility is now actively discussed by the USA and the European Union.,"The US and EU are actively discussing potential severe sanctions (including SWIFT disconnection) against Russia if the Kremlin proceeds with military invasion of Ukraine, framing invasion as a conditional possibility rather than certainty.",True,live,
62,2021-12-17,rand.org,en,deterring putin in eastern europe,https://rand.org/blog/2021/12/deterring-putin-in-eastern-europe.html,analysis,analyst,"Terrence Kelly, Timothy M. Bonds, Michael Johnson",RAND Corporation,0.7,0.75,full_scale,unspecified,,0.85,0.023,98,invasion,"Russian President Putin may believe the time is right to invade Ukraine if NATO refuses to meet his demands. Massing 170,000 troops on Ukraine's border is excessive for a diplomatic signal and represents an offensive threat.","Russian President Putin may believe the time is right to invade Ukraine if NATO refuses to meet his demands. Massing 170,000 troops on Ukraine's border is excessive for a diplomatic signal and represents an offensive threat.","RAND analysts assess that Putin may believe conditions are favorable for invading Ukraine if NATO refuses his demands, citing troop massing as an offensive threat, and recommend NATO deterrence measures to prevent such action.",False,live,
63,2021-12-18,rbc.ru,ru,Почти половина американцев выступили против войны с Россией из-за Украины,https://rbc.ru/rbcfreenews/61bd842b9a7947c595ec090d,poll,poll,YouGov,YouGov (Charles Koch Institute),0,1,unclear,unspecified,,0.5,0.25,75,uncertain,В случае повторного вторжения России на Украину поддержите ли вы вовлечение США в военный конфликт ради защиты территориальной целостности Украины?,"In the event of Russia's renewed invasion of Ukraine, would you support US involvement in military conflict to protect Ukraine's territorial integrity?","A YouGov poll finds 48% of American adults oppose US military involvement if Russia invades Ukraine, while 27% support it and 24% are undecided; the poll presupposes a Russian invasion as a conditional scenario.",True,wayback,20211218122935
64,2021-12-20,thehill.com,en,Why China won't invade Taiwan and Russia won't attack Ukraine,https://thehill.com/opinion/national-security/586492-why-china-wont-invade-taiwan-and-russia-wont-attack-ukraine,opinion,author,Harlan Ullman,Atlantic Council,-0.9,0.85,none,foreseeable future,,0.05,0.902,10,no_invasion,"Barring a catastrophic blunder, Russia will not attack Ukraine. For the foreseeable future, China lacks the military capability to mount an amphibious operation to seize and occupy Taiwan.","Barring a catastrophic blunder, Russia will not attack Ukraine. For the foreseeable future, China lacks the military capability to mount an amphibious operation to seize and occupy Taiwan.","Harlan Ullman (Atlantic Council) argues confidently that Russia will not invade Ukraine and China cannot invade Taiwan, characterizing intelligence warnings of a Russian assault as exaggeration; he predicts de-escalation and a Putin ""victory"" declaration instead.",True,wayback,20211220125840
65,2021-12-20,rusi.org,en,uk russian conversation arms control strategic stability and ukraine,https://rusi.org/explore-our-research/publications/commentary/uk-russian-conversation-arms-control-strategic-stability-and-ukraine,analysis,mixed,Malcolm Chalmers (RUSI) and Andrei Kortunov (RIAC),RUSI; Russian International Affairs Council,0.15,0.6,unclear,unspecified,,0.575,0.181,82,uncertain,"Putin's statements on Ukraine suggest that he simply does not view it as a legitimate independent state. Worryingly, he may also be signalling that time is running out for those, like himself, who want to bring a large part of Ukraine back into the Russian fold.","Putin's statements on Ukraine suggest that he simply does not view it as a legitimate independent state. Worryingly, he may also be signalling that time is running out for those, like himself, who want to bring a large part of Ukraine back into the Russian fold.","UK and Russian experts debate whether war is avoidable; Chalmers warns Putin may see time running out to reclaim Ukraine, while Kortunov argues Russian society opposes large-scale war and confidence-building measures could prevent escalation.",True,live,
66,2021-12-20,lenta.ru,ru,Зеленский призвал к превентивным санкциям против России,https://lenta.ru/news/2021/12/20/ze_sanctions,news,official_ukrainian,Volodymyr Zelenskyy,President of Ukraine,0.65,0.7,unclear,unspecified,,0.825,0.031,97,invasion,"Поэтому, считаю, наоборот, должны быть мощные превентивные меры, серьезные санкции, чтобы даже не было ни одной мысли об эскалации в любой регион","Therefore, I believe, on the contrary, there should be powerful preventive measures, serious sanctions, so that there is not even a thought of escalation in any region","Ukrainian President Zelenskyy calls for preemptive sanctions against Russia, implying he sees escalation risk and does not expect Russia to back down, while the Kremlin denies invasion intentions.",True,live,
67,2021-12-20,themoscowtimes.com,en,"Russia Demands 'Urgent' U.S. Talks, Warning of 'Military Response' to NATO Activity",https://themoscowtimes.com/2021/12/20/russia-demands-urgent-us-talks-warning-of-military-response-a75880,news,official_russian,Sergei Ryabkov and Konstantin Gavrilov,Russian Foreign Ministry and Russian delegation on military security,0.65,0.6,unclear,unspecified,,0.825,0.031,97,invasion,Otherwise the alternative is a military-technical and military response from Russia. We need [answers] urgently since the situation is very serious and may get more complicated.,Otherwise the alternative is a military-technical and military response from Russia. We need [answers] urgently since the situation is very serious and may get more complicated.,"Russian officials (Ryabkov, Gavrilov) warn of a potential 'military response' if NATO continues activities Moscow views as threatening, framing it as conditional on Western rejection of negotiations; Western officials reject Russia's demands but signal willingness to discuss.",False,live,
68,2021-12-22,warontherocks.com,en,the berlin crisis ukraine and the five percent problem,https://warontherocks.com/2021/12/the-berlin-crisis-ukraine-and-the-five-percent-problem,analysis,author,Sergey Radchenko,"Johns Hopkins University, Henry A. Kissinger Center for Global Affairs",0.35,0.6,limited_donbas,unspecified,0.95,0.35,0.423,58,no_invasion,"There may be a 95 percent chance that Putin would get away with an invasion, perhaps even an annexation of Donbas. He managed it before in Crimea and faced tolerable consequences. But the other 5 percent weighs heavier and heavier as the stakes grow larger and larger.","There may be a 95 percent chance that Putin would get away with an invasion, perhaps even an annexation of Donbas. He managed it before in Crimea and faced tolerable consequences. But the other 5 percent weighs heavier and heavier as the stakes grow larger and larger.","Sergey Radchenko argues that while Putin may have a 95% chance of getting away with a limited invasion or annexation of Donbas (as he did in Crimea), the 5% risk of broader escalation is significant; he recommends Western deterrence and calibrated diplomacy to avoid war.",True,live,
69,2021-12-22,zn.ua,uk,Вторжение РФ в Украину - Россия собирает наемников для войны на Донбассе,https://zn.ua/POLITICS/v-rossii-sobirajut-naemnikov-dlja-komandirovki-na-donbass-no-iz-za-vsu-u-polja-terrikonov-nikto-ne-rvetsja-smi.html,news,mixed,Wagner mercenaries and recruiters (multiple sources); vet of Wagner PMC,Wagner PMC; Russian Ministry of Defence (claimed by recruiters),-0.65,0.6,limited_donbas,unspecified,,0.175,0.681,32,no_invasion,"В то же время источники убеждены, что РФ не решится на вторжение - все закончится ""тупиком"" и провалом. Причина в том, что уровень подготовки этих наемников очень низкий... В ""поля терриконов"" никто не рвется.","At the same time, sources are convinced that Russia will not dare to invade—it will all end in 'deadlock' and failure. The reason is that the level of training of these mercenaries is very low... No one wants to go to the 'slag heap fields.'","Multiple mercenary sources and a Wagner veteran assert Russia will not launch a full-scale invasion of Ukraine, citing low mercenary quality and reluctance to face Ukrainian regular army; however, the article reports ongoing recruitment for Donbas operations, suggesting limited military activity is expected.",True,live,
70,2021-12-22,themoscowtimes.com,en,"U.S. Could Cut Off Russia's Smartphone, Car Imports Over Ukraine Invasion – Reuters",https://themoscowtimes.com/2021/12/22/us-could-cut-off-russias-smartphone-car-imports-over-ukraine-invasion-reuters-a75896,news,official_western,Biden administration official (unnamed),U.S. Biden administration,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"The United States could hamstring Russia's smartphone and automobile imports if Moscow invades Ukraine, Reuters reported Tuesday, citing an unnamed Biden administration official.","The United States could hamstring Russia's smartphone and automobile imports if Moscow invades Ukraine, Reuters reported Tuesday, citing an unnamed Biden administration official.","An unnamed Biden administration official indicates the U.S. is preparing unprecedented export controls contingent on a Russian invasion of Ukraine, implying invasion is considered a realistic possibility; Russia denies invasion plans.",True,live,
71,2021-12-23,atlanticcouncil.org,en,Is Ukraine's reformed military ready to repel a new Russian invasion?,https://atlanticcouncil.org/blogs/ukrainealert/is-ukraines-reformed-military-ready-to-repel-a-new-russian-invasion,analysis,author,Atlantic Council analysts (unnamed),Atlantic Council,0.7,0.75,full_scale,unspecified,,0.85,0.023,98,invasion,"The looming threat of a full-scale Russian invasion poses a wide range of questions for the Ukrainian military. Currently, most US experts are confident that the threat is very real and should be taken seriously.","The looming threat of a full-scale Russian invasion poses a wide range of questions for the Ukrainian military. Currently, most US experts are confident that the threat is very real and should be taken seriously.","Atlantic Council analysts assert that most US experts view a full-scale Russian invasion as a real and serious threat, and argue Ukraine's reformed military can inflict significant costs on any invasion attempt.",True,live,
72,2021-12-23,cnn.com,en,White House reiterates that US is ready to act if Russia invades Ukraine,https://cnn.com/2021/12/23/politics/us-warning-russia-ukraine,news,official_western,Senior Biden administration official; White House Press Secretary Jen Psaki,White House / US State Department,0.65,0.7,unclear,unspecified,,0.825,0.031,97,invasion,We have been clear that there will be significant consequences if Russia attacks... Such a move would also result in NATO capabilities being moved closer to Russia.,We have been clear that there will be significant consequences if Russia attacks... Such a move would also result in NATO capabilities being moved closer to Russia.,"Senior US administration officials warn that Russia faces severe consequences if it invades Ukraine, implicitly treating invasion as a credible possibility requiring deterrence, while Putin deflects and frames the issue as NATO security concerns.",False,live,
73,2021-12-24,theguardian.com,en,'We've heard it all before': Ukrainians brush aside talk of Russian invasion | Ukraine,https://theguardian.com/world/2021/dec/24/ukrainians-brush-aside-talk-russian-invasion-ukraine-christmas,news,mixed,Ukrainian public opinion / Kyiv residents,,-0.65,0.6,full_scale,unspecified,,0.175,0.681,32,no_invasion,We've heard it all too many times over the last few years. And usually it's just hype... The invasion came to nothing at that point... many hope the invasion will be similarly chimeric.,We've heard it all too many times over the last few years. And usually it's just hype... The invasion came to nothing at that point... many hope the invasion will be similarly chimeric.,"Ukrainian residents and officials dismiss invasion warnings as repeated false alarms ('crying wolf'), though a December poll shows half would resist if it occurred; the article frames skepticism as the dominant Ukrainian stance despite Russian military buildup.",False,live,
74,2021-12-24,unian.net,ru,"Социологи узнали мнение украинцев об угрозе ""большой войны"" с Россией",https://unian.net/war/sociologi-uznali-mnenie-ukraincev-ob-ugroze-bolshoy-voyny-s-rossiey-novosti-donbassa-11653252.html,poll,poll,Kyiv International Institute of Sociology (KMIS),KMIS,0.08,0.85,full_scale,unspecified,0.492,0.492,0.258,74,uncertain,"49,2% респондентов считают реальной угрозу вторжения России на территорию Украины, считают, что вторжения не будет – 41,4%.",49.2% of respondents consider the threat of Russian invasion of Ukrainian territory real; 41.4% believe there will be no invasion.,"A KMIS poll of 1,203 Ukrainians (Dec 13–16, 2021) finds 49.2% view Russian invasion as a real threat, while 41.4% do not; 57.8% believe government diplomatic and defensive efforts are insufficient.",True,live,
75,2021-12-24,pbs.org,en,A closer look at Russia-Ukraine tensions and the potential for successful diplomacy,https://pbs.org/newshour/show/a-closer-look-at-russia-ukraine-tensions-and-the-potential-for-successful-diplomacy,news,analyst,Charles Kupchan,Council on Foreign Relations; former National Security Council Official,0.3,0.6,full_scale,unspecified,,0.65,0.122,88,invasion,"I don't think that he has made up his mind. And that's in part because he is going through the motions of trying to have a serious conversation with NATO, with the United States. It's also the case that this would not be an easy war.","I don't think that he has made up his mind. And that's in part because he is going through the motions of trying to have a serious conversation with NATO, with the United States. It's also the case that this would not be an easy war.","Charles Kupchan (CFR analyst) suggests Putin has not decided to invade and may be negotiating seriously, though he acknowledges the war would be costly; Alina Polyakova warns of a potentially devastating military invasion and sees worrisome signals from Moscow suggesting lack of genuine diplomatic interest.",True,live,
76,2021-12-26,mk.ru,ru,Эксперт объяснил риски отвода российских войск от украинской границы,https://mk.ru/politics/2021/12/26/ekspert-obyasnil-riski-otvoda-rossiyskikh-voysk-ot-ukrainskoy-granicy.html,news,analyst,Анатолий Матвейчук,Military expert (independent),-0.3,0.4,none,unspecified,,0.35,0.423,58,no_invasion,"Я думаю, этому могло поспособствовать два фактора. Первый — Россия и США все-таки договорились об ослаблении «хватки». Это, по всей видимости, политический жест, который предприняла Россия в связи с возможными переговорами Владимира Путина с Джо Байденом.",I think two factors could have contributed to this. First — Russia and the US have agreed to ease the 'grip'. This is apparently a political gesture made by Russia in connection with possible negotiations between Vladimir Putin and Joe Biden.,"Military expert Matveichuk interprets Russian troop withdrawal from Ukraine's border as a de-escalatory political gesture ahead of Putin-Biden talks, dismissing invasion risk by noting Russia can redeploy within 6 hours if needed.",True,live,
77,2021-12-27,foreignpolicy.com,en,how russia decides when to invade,https://foreignpolicy.com/2021/12/27/how-russia-decides-when-to-invade,analysis,author,Eugene Chausovsky,New Lines Institute,-0.7,0.75,none,unspecified,,0.15,0.722,28,no_invasion,"Despite all the hard words from Moscow, Russia's record shows that an invasion is unlikely... the application of this framework on military intervention suggests that a looming large-scale Russian invasion of Ukraine is unlikely.","Despite all the hard words from Moscow, Russia's record shows that an invasion is unlikely... the application of this framework on military intervention suggests that a looming large-scale Russian invasion of Ukraine is unlikely.","Eugene Chausovsky (New Lines Institute) argues that despite troop buildups and threatening rhetoric, Russia's historical decision-making framework suggests a large-scale invasion of Ukraine is unlikely, though hybrid warfare and limited operations remain possible.",False,live,
78,2021-12-27,zn.ua,uk,Зеленский может спровоцировать нападение России,https://zn.ua/WORLD/neopytnost-komandy-zelenskoho-mozhet-usuhubit-trenija-rossii-i-ssha-the-new-york-times.html,news,analyst,Andrew Kramer,The New York Times,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"Непрофессиональные шаги могут стать поводом для войны, что значительно усугубит напряженность между Россией и США","Unprofessional steps could become a pretext for war, which would significantly exacerbate tensions between Russia and the United States","Andrew Kramer (NYT) warns that inexperience in Zelensky's team could provoke Russian military action and full-scale war, noting Russia has concentrated troops on Ukraine's border and Ukrainian forces would likely be unable to stop them.",True,live,
79,2021-12-27,themoscowtimes.com,en,Russia May Underestimate Ukraine and NATO - The Moscow Times,https://themoscowtimes.com/2021/12/27/russia-may-underestimate-ukraine-and-nato-a75933,analysis,author,The Moscow Times editorial/analysis,The Moscow Times,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"Thus, NATO might be wise to consider that Russia could launch a wider invasion of Ukraine. Wars always bring uncertainties, but several considerations could be relevant.","Thus, NATO might be wise to consider that Russia could launch a wider invasion of Ukraine. Wars always bring uncertainties, but several considerations could be relevant.","The Moscow Times analysis argues that the Kremlin may underestimate NATO and Ukraine and could launch a wider invasion; while hedged with uncertainties, the article presents a scenario where Russia might attempt to seize large areas including major cities, though Ukrainian defenses and potential NATO intervention could complicate such an operation.",True,live,
80,2021-12-28,tass.com,en,Claims about threat of Russian invasion of Ukraine groundless — deputy ambassador to UN,https://tass.com/politics/1382043,news,official_russian,Dmitry Polyansky,"Russian Federation, UN Deputy Ambassador",-0.9,0.85,none,unspecified,,0.05,0.902,10,no_invasion,"The phantom threat of a Russian invasion of Ukraine exists only in the minds of some politicians, while there has been no significant activity on the border... this problem can be solved very easily, because it emerged in the heads of some politicians, so it shall die in the heads of these politicians.","The phantom threat of a Russian invasion of Ukraine exists only in the minds of some politicians, while there has been no significant activity on the border... this problem can be solved very easily, because it emerged in the heads of some politicians, so it shall die in the heads of these politicians.","Russia's UN deputy ambassador Polyansky dismisses invasion threat as a phantom existing only in politicians' minds, denying significant military activity and asserting Russia's right to conduct exercises.",True,live,
81,2021-12-28,rand.org,en,russia may underestimate ukraine and nato,https://rand.org/blog/2021/12/russia-may-underestimate-ukraine-and-nato.html,analysis,author,William Courtney and Peter A. Wilson,RAND Corporation,0.65,0.7,full_scale,unspecified,,0.825,0.031,97,invasion,"Thus, NATO might be wise to consider that Russia could launch a wider invasion of Ukraine... RAND found that the operation would take 'weeks, if not months, to fully develop and execute.'","Thus, NATO might be wise to consider that Russia could launch a wider invasion of Ukraine... RAND found that the operation would take 'weeks, if not months, to fully develop and execute.'","RAND analysts assess that Russia may underestimate NATO and Ukraine and could launch a wider full-scale invasion despite unrealistic demands; such an operation would take weeks to months and face significant Ukrainian resistance, though success is not assured.",False,live,
