n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
87,2022-06-30,almayadeen.net,ar,ar,هل يعود نتنياهو إلى الحكم؟,https://almayadeen.net/articles/%D9%87%D9%84-%D9%8A%D8%B9%D9%88%D8%AF-%D9%86%D8%AA%D9%86%D9%8A%D8%A7%D9%87%D9%88-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D9%83%D9%85,analysis,author,media,,almayadeen.net,,0.65,0.7,n/a,,0.825,bloc61,نجح نتنياهو في أن يعزز الصورة الضعيفة الفاشلة لهذه الحكومة ورئيسها نفتالي بينيت في نظر جمهور الناخبين، وهذا ما يعزز إمكانية عودة نتنياهو إلى الحكم بقوة جمهور الناخبين اليميني المتحمس جداً للانتخابات,"Netanyahu succeeded in reinforcing the weak and failed image of this government and its prime minister Naftali Bennett in the eyes of voters, which enhances the possibility of Netanyahu's return to power with the force of the right-wing voter base that is very enthusiastic about the elections","The author argues that Netanyahu's bloc has strengthened chances of reaching 61+ seats due to right-wing voter enthusiasm, government weakness, and potential collapse of opposition parties below the threshold, though Biden administration opposition and Arab voter dynamics present countervailing factors.",True,wayback,20220630124118
88,2022-06-30,israelnationalnews.com,en,il_en,Yesh Atid MK: 'Haredim will be an integral part of a govt headed by Lapid',https://israelnationalnews.com/news/355786,interview,politician_anti,anti,Simon Davidson,Yesh Atid,,-0.5,0.6,opposition_forms_govt,,0.25,no61,"if Lapid is the one to form the next coalition, haredi MKs will be an integral part of it, and that will be good for everyone.","if Lapid is the one to form the next coalition, haredi MKs will be an integral part of it, and that will be good for everyone.","Yesh Atid MK Simon Davidson expresses confidence that if Lapid forms the next government, haredi parties will join an anti-Netanyahu coalition, implicitly rejecting Netanyahu's bloc majority.",True,live,
89,2022-07-02,israelinfo.co.il,ru,ru,Главный вопрос предстоящих выборов,https://news.israelinfo.co.il/politics/103917,analysis,author,media,Irina Zhukovskaya,israelinfo.co.il,,0.3,0.65,n/a,,0.65,bloc61,"Расклад демографических и политических сил в Израиле таков, что предотвратить возвращение к власти право-религиозного блока может только объединение в той или иной форме всех его противников, включая и «Объединенный список». Это значит, что 1 ноября израильтянам предстоит выбирать между двумя перспективами...","The configuration of demographic and political forces in Israel is such that only a unification in some form of all opponents of the right-religious bloc, including the 'Joint List,' can prevent its return to power. This means that on November 1, Israelis will have to choose between two perspectives...","Author Zhukovskaya argues that Netanyahu's right-religious bloc can be prevented from returning to power only if all opponents unite, suggesting the election presents a binary choice between bloc victory and opposition coalition formation, with the outcome dependent on voter preference.",True,live,
90,2022-07-04,inn.co.il,he,he,שרון יהרוס את הגוש | דעה,https://inn.co.il/news/570386,opinion,author,media,,inn.co.il,,-0.7,0.75,opposition_forms_govt,,0.15,no61,גלעד שרון יהרוס את הגוש... הכנסתו של שרון הבן לרשימת הליכוד משמעותה סיומו של הגוש האמוני... וכנראה גם כמה מנדטים סרוגים שיעברו מהליכוד לציונות הדתית.,Gilad Sharon will destroy the bloc... Sharon's inclusion in the Likud list means the end of the faith-based bloc... and apparently also some mandates will move from Likud to Religious Zionism.,"The author argues that Gilad Sharon's potential inclusion in the Likud list will fracture the right-wing bloc, causing defections from Likud to Religious Zionism and undermining Netanyahu's coalition prospects.",True,live,
91,2022-07-04,kan.org.il,he,he,סקר כאן חדשות: ימינה ושקד על סף אחוז החסימה,https://kan.org.il/item?itemid=130265,poll,poll,polls,Kantar,Kan News (Israeli public broadcaster),63,0.6,0.85,n/a,,0.8,bloc61,"עם 4 המנדטים האפשריים של שקד, יש לנתניהו גוש של 63. ההתנדנדויות סביב אחוז החסימה עשויות להיות נקודת המפתח בבחירות הקרובות ולשנות את מפת הגושים","With the 4 possible seats for Shaked, Netanyahu has a bloc of 63. The fluctuations around the electoral threshold could be the key point in the upcoming elections and change the map of blocs.","A Kantar poll for Kan News projects Netanyahu's bloc at 63 seats (Likud 34 + Religious Zionism 10 + Shas 8 + UTJ 7 + Shaked's Yamina 4), comfortably above 61, but notes that Shaked's precarious position near the threshold could be decisive.",True,wayback,20220704103744
92,2022-07-05,maariv.co.il,he,he,האם בשיטת הבחירות הקיימת הליכוד יוכל להגיע לממשלה מוצקה?,https://maariv.co.il/journalists/opinions/Article-929506,opinion,author,media,,Ma'ariv,,0,0.3,unclear,,0.5,uncertain,השאלות הן האם בחירות חדשות יניבו את היציבות שדרושה למדינה? והאם בשיטת הבחירות הקיימת ניתן בכלל להגיע לממשלה מוצקה?,"The questions are whether new elections will yield the stability the state needs, and whether under the current electoral system it is possible at all to reach a stable government?","The author questions whether, under Israel's current electoral system, Netanyahu's bloc (or any right-wing bloc) can form a stable government, raising structural doubts rather than predicting the outcome.",True,live,
93,2022-07-05,alquds.co.uk,ar,ar,بعد استطلاع يبين تقدم نتنياهو.. في الانتخابات المقبلة: أيهما الأسبق.. اتحاد ساعر-غانتس أم نتنياهو-شكيد؟,https://alquds.co.uk/%D8%A8%D8%B9%D8%AF-%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9-%D9%8A%D8%A8%D9%8A%D9%86-%D8%AA%D9%82%D8%AF%D9%85-%D9%86%D8%AA%D9%86%D9%8A%D8%A7%D9%87%D9%88-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D9%86%D8%AA,analysis,analyst,media,Amnon Harari,Haaretz,63,0.5,0.75,n/a,,0.75,bloc61,"حسب استطلاع أجرته ""كان 11"" الأحد الماضي ستحصل شكيد على 4 مقاعد. وبعد انضمامها المتوقع لكتلة نتنياهو، فستعطيه 63 مقعداً، وهكذا ستكون هناك حكومة.","According to a poll conducted by 'Kan 11' last Sunday, Shaked will get 4 seats. After her expected joining of Netanyahu's bloc, she will give him 63 seats, and thus there will be a government.","Analyst Amnon Harari, citing a Kan 11 poll, projects Netanyahu's bloc at 63 seats (Likud + Shaked's Yamina + religious parties), but notes this depends on Shaked joining; opposition unity between Sa'ar and Gantz could prevent it.",True,live,
94,2022-07-05,arabnews.com,en,intl,Netanyahu-led doomsday coalition looms over Israeli elections,https://arabnews.com/node/2117111,analysis,author,media,Ben Lynfield,Arab News / Jerusalem Post,,0.5,0.65,n/a,,0.75,bloc61,"Although it is too early to predict what will happen, a Netanyahu triumph is a distinct possibility. A recent poll by the Maariv newspaper indicated that if Ayelet Shaked, the hard-right former interior minister, threw her weight behind Netanyahu, he would return to power.","Although it is too early to predict what will happen, a Netanyahu triumph is a distinct possibility. A recent poll by the Maariv newspaper indicated that if Ayelet Shaked, the hard-right former interior minister, threw her weight behind Netanyahu, he would return to power.","Author Ben Lynfield assesses that a Netanyahu triumph is a 'distinct possibility' contingent on coalition dynamics, while critics view such an outcome as dangerous; no seat projection given.",True,wayback,20220705190503
95,2022-07-05,israelhayom.co.il,he,he,דעה | מה נשתנה בבחירות החמישיות? | ישראל היום,https://israelhayom.co.il/opinions/article/12047449,opinion,author,media,,Israel Hayom,,0.5,0.7,n/a,,0.75,bloc61,"במבנה החדש הזה הבחירה היא בין ממשלת ימין בראשות נתניהו עם הליכוד, הציונות הדתית והמפלגות החרדיות לבין ממשלת שמאל בראשות לפיד... הדמוקרטיה הפרלמנטרית הישראלית תתנסה לראשונה בחוויה הדומה לשיטה רובית דו־מפלגתית.","In this new structure the choice is between a right-wing government led by Netanyahu with Likud, Religious Zionism and haredi parties versus a left-wing government led by Lapid... Israeli parliamentary democracy will experience for the first time something resembling a two-party system.","The author argues that Israel's political system has become a clear two-bloc structure where Netanyahu's right-wing bloc (Likud, Religious Zionism, haredi parties) competes directly against Lapid's left-wing bloc, with 61 seats as the decisive threshold, implying a competitive but uncertain outcome.",True,live,
96,2022-07-06,maariv.co.il,he,he,"נתניהו מבין שמערכת הבחירות הזו היא ""להיות או לחדול"" | גנור",https://maariv.co.il/journalists/opinions/Article-929811,opinion,author,media,Gidi Geanor (Geanor),Ma'ariv,62,0.5,0.6,n/a,,0.75,bloc61,"בניגוד לסקרים השונים, שמעניקים לליכוד בין 32 ל־34 מנדטים ומנבאים את שובו של בנימין נתניהו לבלפור עם קואליציה של בין 61 ל־63 מנדטים, המציאות שונה ורחוקה מאותן נבואות וסקרים.","Contrary to various polls, which give Likud between 32-34 seats and predict Benjamin Netanyahu's return to Balfour with a coalition of between 61-63 seats, reality is different and far from those prophecies and polls.","The author cites polls predicting Netanyahu's bloc will reach 61-63 seats, but argues reality differs from these predictions; he suggests Netanyahu understands this election is 'to be or not to be' and may surprise, but questions whether it will help him.",True,live,
97,2022-07-07,i24news.tv,he,he,Poll: Most Israelis Don't Expect Stable Gov't After Election,https://i24news.tv/en/news/israel/politics/1657174688-poll-most-israelis-don-t-expect-stable-gov-t-after-election,poll,poll,polls,Israel Democracy Institute (IDI),Israel Democracy Institute,,-0.5,0.75,deadlock,,0.25,no61,"57.5 percent of Israelis think there is a low likelihood of a stable government being formed after the November 1 vote. 52 percent believe that the political right has a greater chance of forming a stable coalition, as opposed to only nine percent for the center-left.","57.5 percent of Israelis think there is a low likelihood of a stable government being formed after the November 1 vote. 52 percent believe that the political right has a greater chance of forming a stable coalition, as opposed to only nine percent for the center-left.","An IDI poll shows 57.5% of Israelis expect no stable government will form after the election, though 52% believe the political right has better chances than the center-left; a separate Kan poll shows Netanyahu's Likud at 34 seats.",True,wayback,20220707081753
98,2022-07-07,jpost.com,en,il_en,Is there hope for New Hope in upcoming Israeli election? - analysis,https://jpost.com/israel-elections/article-711468,analysis,author,media,,Jerusalem Post,,-0.5,0.6,unclear,,0.25,no61,"If one party in the current coalition bloc does not pass the election threshold, it may be enough to enable opposition head Benjamin Netanyahu's return to power.","If one party in the current coalition bloc does not pass the election threshold, it may be enough to enable opposition head Benjamin Netanyahu's return to power.","The author suggests that if right-wing coalition parties fail the threshold or fragment, Netanyahu's bloc could return to power, but emphasizes uncertainty around mergers and seat distribution.",True,live,
99,2022-07-08,walla.co.il,he,he,המאבק הסמוי בין לפיד וגנץ יעצב את בחירות 2022,https://news.walla.co.il/item/3517043,analysis,author,media,,walla.co.il,,-0.5,0.65,opposition_forms_govt,,0.25,no61,"אם לנתניהו לא יהיה 61, השאלה תהיה 'יאיר או בני' - והחרדים יכולים לשחק בה תפקיד מכריע.","If Netanyahu does not have 61, the question will be 'Yair or Beni' - and the Haredim can play a decisive role in it.","The author analyzes that if Netanyahu fails to reach 61 seats, the anti-Netanyahu bloc (Lapid/Gantz) will form the next government, with Haredi parties as kingmakers in a potential three-way race between Lapid and Gantz.",True,live,
100,2022-07-08,ynet.co.il,he,he,מתי תכריע הדמוגרפיה החרדית-דתית את התיקו הפוליטי?,https://ynet.co.il/news/article/ryfcc7bs9,analysis,author,media,,ynet.co.il,,0,0.3,unclear,,0.5,uncertain,"האם ומתי תורגש גם בקלפיות המגמה הדמוגרפית הברורה... ותכריע באופן מובהק את הכאוס הפוליטי שאליו נגררו מדינת ישראל ואזרחיה, שייצאו ב-1 בנובמבר להצביע בבחירות לכנסת בפעם החמישית בתוך שלוש שנים וחצי?","Will the clear demographic trend be felt at the ballot boxes and decisively resolve the political chaos into which the State of Israel and its citizens have been dragged, who will go out on November 1 to vote in Knesset elections for the fifth time in three and a half years?","The author explores whether rapid Haredi-religious demographic growth will translate into a decisive political majority for Netanyahu's bloc by November 2022, but multiple experts quoted suggest the relationship between demographics and actual seat allocation is complex and uncertain.",True,live,
101,2022-07-09,allisrael.com,en,il_en,joel rosenberg predicts a netanyahu comeback in the next israeli election,https://allisrael.com/joel-rosenberg-predicts-a-netanyahu-comeback-in-the-next-israeli-election,interview,analyst,media,Joel Rosenberg,ALL ISRAEL NEWS,,0.5,0.7,n/a,0.6,0.6,bloc61,"If I were a betting man at one of Trump's casinos, I would probably put my money 60-40 on Netanyahu to come back.","If I were a betting man at one of Trump's casinos, I would probably put my money 60-40 on Netanyahu to come back.","Joel Rosenberg, ALL ISRAEL NEWS editor-in-chief, predicts Netanyahu will win the most votes and get first shot at coalition-building with 60-40 odds, but acknowledges the core challenge: many right-wing politicians refuse to serve with him due to past betrayals.",True,live,
102,2022-07-10,israelhayom.co.il,he,he,"דעה | מרוב אינטרסים, התבשיל של גנץ וסער עלול להישרף | ישראל היום",https://israelhayom.co.il/news/politics/article/12160352,opinion,author,media,,Israel Hayom,,0,0.3,unclear,,0.5,uncertain,"הם שומעים את הקולות שעושים חלק מהח""כים החרדים, שאומרים כי אם נתניהו לא יצליח להביא 61 מנדטים ולא יצליח להרכיב ממשלה - הם (החרדים) יכולים להיות אפשרות כזאת.","They hear voices from some Haredi MKs saying that if Netanyahu fails to bring 61 seats and fails to form a government, they (the Haredim) could be an alternative option.","The author expresses skepticism about a Gantz-Saar merger's ability to help Netanyahu reach 61 seats, citing historical failures of similar alliances and the long campaign period ahead, while noting that only November 1 will reveal the outcome.",True,live,
103,2022-07-11,jpost.com,en,il_en,Merger with New Hope puts Gantz in good position for PM race,https://jpost.com/israel-elections/article-711816,analysis,author,media,,Jerusalem Post,59,-0.5,0.75,deadlock,,0.25,no61,"With or without Eisenkot, after the Netanyahu bloc reached 61 seats in a poll published on Friday, Meretz's passing the electoral threshold now means that if the election were held today, neither side would receive an absolute majority. The Netanyahu bloc would receive 59 seats, and the current coalition parties would receive 55.","With or without Eisenkot, after the Netanyahu bloc reached 61 seats in a poll published on Friday, Meretz's passing the electoral threshold now means that if the election were held today, neither side would receive an absolute majority. The Netanyahu bloc would receive 59 seats, and the current coalition parties would receive 55.","The Jerusalem Post analysis reports a poll showing Netanyahu's bloc at 59 seats (below the 61-seat threshold), indicating neither side would have an absolute majority if elections were held immediately, though the article notes Gantz-Sa'ar might form a government through alternative coalition arrangements.",True,live,
104,2022-07-11,inn.co.il,he,he,בחזרה לגושים: השמאל לא ניצח 30 שנה – רק איחוד יביא לשינוי,https://inn.co.il/news/571002,opinion,author,media,Avi Shauli,Goldfingers Media (communication consultant),,-0.7,0.75,deadlock,,0.15,no61,"לקראת הבחירות לכנסת ה-25 הסקרים מנבאים שמה שהיה הוא שיהיה, אלא אם יהיה איחוד של מרבית מפלגות השמאל-מרכז... המשמעות של היעדר הכרעה פוליטית היא המשך של חוסר יציבות פוליטית.","Ahead of the 25th Knesset elections, polls predict that what was will be, unless there is a union of most center-left parties... The meaning of the absence of political decision is the continuation of political instability.","Opinion columnist Avi Shauli argues that without a center-left union, the right-wing bloc will maintain dominance and Israel will face continued political deadlock and instability, predicting the status quo will persist.",True,live,
105,2022-07-11,srugim.co.il,he,he,סקר: הימין נחלש; שקד קורסת; וכמה שווים סער וגנץ,https://srugim.co.il/690120-%D7%A1%D7%A7%D7%A8-%D7%94%D7%99%D7%9E%D7%99%D7%9F-%D7%A0%D7%97%D7%9C%D7%A9-%D7%A9%D7%A7%D7%93-%D7%A7%D7%95%D7%A8%D7%A1%D7%AA-%D7%95%D7%9B%D7%9E%D7%94-%D7%A9%D7%95%D7%95%D7%99%D7%9D-%D7%A1%D7%A2,poll,poll,polls,Kantar,Kan 11,59,-0.2,0.7,n/a,,0.4,no61,על פי החלוקה לגושים: גוש הימין-חרדים: 59 מנדטים. גוש השמאל-מרכז: 55 מנדטים.,According to bloc division: Right-Haredi bloc: 59 seats. Left-center bloc: 55 seats.,"A Kantar poll published by Kan 11 projects the right-Haredi bloc at 59 seats, two short of the 61-seat majority Netanyahu needs, with the left-center bloc at 55 seats.",True,live,
106,2022-07-11,kikar.co.il,he,he,סקר: לנתניהו ולפיד אין 61 להרכבת ממשלה,https://kikar.co.il/422788.html,poll,poll,polls,Manu Geva (Channel 12) / Kantar (Kan 11),Channel 12 / Kan 11,59,-0.4,0.95,deadlock,,0.3,no61,"סקר חדש שפורסם הערב (שני) ב'חדשות 12' עולה כי גוש הימין בראשות בנימין נתניהו זוכה ל-59 מנדטים, גוש לפיד עם 55 מנדטים, כך שלאף גוש אין רוב להרכבת ממשלה.","A new poll published this evening (Monday) on Channel 12 shows that Netanyahu's right-wing bloc wins 59 seats, Lapid's bloc with 55 seats, so neither bloc has a majority to form a government.","Two polls (Channel 12 / Manu Geva and Kan 11 / Kantar) project Netanyahu's bloc at 59 seats, two short of the 61-seat majority needed, resulting in deadlock.",True,live,
107,2022-07-11,israelnationalnews.com,en,il_en,"Poll: Gantz-Sa'ar combine for 14 seats, Yamina out",https://israelnationalnews.com/news/356334,poll,poll,polls,Dudi Hassid / Kan News,Kan News,59,-0.4,0.95,deadlock,,0.3,no61,"According to the poll, the Netanyahu bloc would receive 59 seats, two short of the 61 needed to form a majority coalition.","According to the poll, the Netanyahu bloc would receive 59 seats, two short of the 61 needed to form a majority coalition.","A Kan News poll by Dudi Hassid projects Netanyahu's bloc at 59 seats, two short of the 61-seat majority needed, suggesting a deadlock scenario.",True,live,
108,2022-07-11,israelhayom.co.il,he,he,דעה | כדי למנוע חרקירי פוליטי בימין: הפתרון המתבקש - איחוד בין ימינה לבית היהודי | ישראל היום,https://israelhayom.co.il/news/politics/article/12182192,opinion,author,media,,Israel Hayom,,0.35,0.6,n/a,,0.675,bloc61,"הצהרה מראש על חבירה לנתניהו, בתרחיש שהמנדטים שישיגו יחדיו ישלימו לנתניהו ולגוש הימין 61, ובעדיפות שנייה, אם אין 61 - ממשלת אחדות רחבה.","A prior declaration of joining Netanyahu, in a scenario where the mandates they achieve together will complete for Netanyahu and the right-wing bloc 61, and as a second priority, if there is no 61 – a broad unity government.","The author argues that a merger of Yamina, Jewish Home, and potentially Shikli would enable the right-wing bloc to reach 61 seats for Netanyahu, or alternatively form a broad unity government.",True,live,
109,2022-07-11,haaretz.com,en,il_en,00000181 ee92 daf4 a1cd fffbc17e0000,https://haaretz.com/israel-news/elections/2022-07-11/ty-article/.premium/polls-show-bennett-successor-shakeds-party-failing-to-enter-knesset/00000181-ee92-daf4-a1cd-fffbc17e0000,poll,poll,polls,"Kan, Channel 12 News","Israeli public broadcaster Kan, Channel 12 News",59,-0.4,0.85,deadlock,,0.3,no61,"The pro-Netanyahu bloc is projected to win a total of 59 seats, also falling short of a Knesset majority, according to two new polls","The pro-Netanyahu bloc is projected to win a total of 59 seats, also falling short of a Knesset majority, according to two new polls","Kan and Channel 12 polls project Netanyahu's bloc at 59 seats, falling short of the 61-seat majority needed.",True,live,
110,2022-07-12,alquds.co.uk,ar,ar,استطلاع جديد في إسرائيل: معسكر اليمين سيفوز بـ59 مقعدا في الانتخابات,https://alquds.co.uk/%D8%A7%D8%B3%D8%AA%D8%B7%D9%84%D8%A7%D8%B9-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%81%D9%8A-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D9%85%D8%B9%D8%B3%D9%83%D8%B1-%D8%A7%D9%84%D9%8A%D9%85%D9%8A%D9%86-%D8%B3,poll,poll,polls,Israeli Broadcasting Authority (הסדר הבחירות),Israeli Broadcasting Authority,59,-0.4,0.9,deadlock,,0.3,no61,معسكر اليمين سيفوز بـ59 مقعدا، بينما سيفوز معسكر اليسار- الوسط بـ55 مقعدا,"The right-wing bloc will win 59 seats, while the left-center bloc will win 55 seats","An Israeli Broadcasting Authority poll from July 2022 projects Netanyahu's right-wing bloc at 59 seats, falling short of the 61-seat majority needed to form a government.",False,live,
111,2022-07-12,allisrael.com,en,il_en,how biden could help netanyahu come back to power,https://allisrael.com/how-biden-could-help-netanyahu-come-back-to-power,news,analyst,media,Arik Ziv,Likudnik Web site,,0.35,0.5,n/a,,0.675,bloc61,polls suggest may be able to lead his party back to power after a year as head of the opposition,polls suggest may be able to lead his party back to power after a year as head of the opposition,"Analyst Arik Ziv suggests Netanyahu's charisma could help him return to power, citing polls indicating he may lead Likud back to government, though the article focuses primarily on Biden's visit and diplomatic optics rather than seat projections.",True,live,
112,2022-07-12,allisrael.com,en,il_en,gantz sa ar join forces netanyahu vows to bring peace with saudi arabia as next pm,https://allisrael.com/gantz-sa-ar-join-forces-netanyahu-vows-to-bring-peace-with-saudi-arabia-as-next-pm,news,author,media,Tal Heinrich,ALL ISRAEL NEWS,,0.3,0.4,n/a,,0.65,bloc61,"The party is projected to win at least 36 Knesset seats, according to Israel Hayom. This represents more than half of what Netanyahu needs to become Israel's next prime minister.","The party is projected to win at least 36 Knesset seats, according to Israel Hayom. This represents more than half of what Netanyahu needs to become Israel's next prime minister.","The author reports that Likud alone is projected to win 36+ seats (more than half of 61), and notes potential far-right mergers and defectors joining Netanyahu, suggesting a path to 61+ but without explicit confidence.",True,live,
113,2022-07-17,bhol.co.il,he,he,107 ימים לבחירות: זהו הניתוח הפוליטי העדכני,https://bhol.co.il/news/1413647,analysis,author,media,,bhol.co.il,61,0.0,0.3,unclear,,0.5,uncertain,"בשבוע האחרון פורסמו שני סקרים המצביעים על 61 מנדטים לגוש הימין. זו מגמה, אבל אנחנו עדיין בתיקו סטטיסטי בין הגושים... מוקדם לנבא את התוצאות ב- 1 בנובמבר.","Two polls published last week show 61 seats for the right-wing bloc. This is a trend, but we are still in a statistical tie between the blocs... It is too early to predict the results on November 1.","The author reports that recent Direct Polls surveys show Netanyahu's bloc at 61 seats, but emphasizes this is early, within statistical margin of error, and too soon to predict the November 1 outcome.",True,wayback,20220717002036
114,2022-07-18,theyeshivaworld.com,en,il_en,religious zionism party to soar if ben gvir leads yamina below threshold,https://theyeshivaworld.com/news/israel-news/2106725/religious-zionism-party-to-soar-if-ben-gvir-leads-yamina-below-threshold.html,poll,poll,polls,Channel 13 News,Channel 13 News,60,-0.2,0.85,deadlock,,0.4,no61,"According to the poll, the Likud would receive 32 seats, compared to 35-36 in recent polls, Shas would receive 8 seats, and UTJ – 7 seats. The entire right-wing bloc would reach 60 seats – one short of a majority.","According to the poll, the Likud would receive 32 seats, compared to 35-36 in recent polls, Shas would receive 8 seats, and UTJ – 7 seats. The entire right-wing bloc would reach 60 seats – one short of a majority.","A Channel 13 News poll projects Netanyahu's right-wing bloc at 60 seats under a Ben-Gvir-led Religious Zionism scenario, one short of the 61-seat majority needed.",True,live,
115,2022-07-19,israelnationalnews.com,en,il_en,Ra'am MK: Our goal is to prevent Netanyahu and the right from returning to power,https://israelnationalnews.com/news/356754,interview,politician_arab,anti,Waleed Taha,Ra'am Party,,-0.7,0.6,opposition_forms_govt,,0.15,no61,"Ra'am is interested in presenting to voters a hope for improving their lives and exercising their rights, while at the same time preventing Netanyahu and the 'fascist right' from returning to power.","Ra'am is interested in presenting to voters a hope for improving their lives and exercising their rights, while at the same time preventing Netanyahu and the 'fascist right' from returning to power.","Ra'am MK Waleed Taha states the party's goal is to prevent Netanyahu and the right from returning to power, implying opposition to a Netanyahu-led bloc majority.",True,live,
116,2022-07-21,israelhayom.co.il,he,he,"גדעון סער: ""לא נחזיר את נתניהו לראשות הממשלה בשום מצב"" | ישראל היום",https://israelhayom.co.il/news/politics/article/12400865,interview,politician_anti,anti,Gideon Sa'ar,Tikvah Hadasha (New Hope),,-0.7,0.85,opposition_forms_govt,,0.15,no61,"לא נסכים להחזיר את נתניהו לראשות הממשלה, לא ראשון ברוטציה, לא שני, לא שלישי ולא בדרך כזאת או אחרת... אם לא יהיו לנתניהו 61 מנדטים, ייפתחו אפשרויות להקמת ממשלת אחדות בראשות גנץ.","We will not agree to return Netanyahu to the premiership, not first in rotation, not second, not third and not in any other way... If Netanyahu does not have 61 mandates, opportunities will open for forming a unity government headed by Gantz.","Gideon Sa'ar (Tikvah Hadasha) categorically rejects returning Netanyahu to power and argues that if Netanyahu fails to secure 61 seats, a unity government led by Gantz becomes possible, positioning the center-right bloc as an alternative to Netanyahu's coalition.",True,live,
117,2022-07-21,inn.co.il,he,he,זהבה גלאון: המילים 'רק לא ביבי' הפכו מבחינתי לאידיאולוגיה. אין אופציה לניצחון בלי המשותפת,https://inn.co.il/news/572037,interview,politician_anti,anti,Zahava Galon,Meretz,,-0.7,0.75,opposition_forms_govt,,0.15,no61,"אני חושבת שהניצחון של הגוש הזה יכול לעבור גם הרשימה המשותפת וגם רע""מ. אני לא רואה אופציה אחרת.",I think the victory of this bloc can go through the Joint List and Ra'am as well. I don't see any other option.,"Zahava Galon (Meretz) argues that the center-left bloc can win the upcoming elections only with cooperation from the Joint List and Ra'am, rejecting Netanyahu's return to power as ideologically unacceptable.",True,live,
118,2022-07-24,ynet.co.il,he,he,"האיחודים נסגרים והאתגרים מתבהרים: 100 יום לבחירות, תמונת מצב",https://ynet.co.il/news/election2022/article/by6l3ath5,analysis,author,media,,ynet.co.il,,0.0,0.3,unclear,,0.5,uncertain,"הליכוד והעומד בראשו - בנימין נתניהו - הוא אתגר ה-61. מאז נטש אביגדור ליברמן את גוש נתניהו, מתקשה הליכוד להרכיב ממשלה","Likud and its leader Benjamin Netanyahu face the challenge of 61 [seats]. Since Avigdor Lieberman abandoned Netanyahu's bloc, Likud has struggled to form a government","The author surveys all major parties' challenges 100 days before the election, framing Netanyahu's bloc's core task as breaking the 61-seat barrier after Lieberman's departure, while the opposition faces fragmentation and coalition-building difficulties; no clear prediction is offered.",True,live,
119,2022-07-24,ynetnews.com,en,il_en,100 days until elections: A look at challenges Israel's political parties are facing,https://ynetnews.com/magazine/article/ska2t3q3q,news,author,media,,YNet News,,0,0.3,unclear,,0.5,uncertain,"Benjamin Netanyahu's challenge is aiming for a 61-seat majority in the next Knesset, which has alluded him since his former ally Avigdor Liberman abandoned the Likud-led coalition government in 2018.","Benjamin Netanyahu's challenge is aiming for a 61-seat majority in the next Knesset, which has alluded him since his former ally Avigdor Liberman abandoned the Likud-led coalition government in 2018.","The author describes Netanyahu's stated goal of achieving a 61-seat majority as a long-standing challenge, while detailing the strategic positioning of various parties without projecting whether he will succeed.",True,live,
120,2022-07-24,haaretz.com,en,il_en,00000182 3168 db9c a5a2 fb6b48e90000,https://haaretz.com/israel-news/elections/2022-07-24/ty-article/.premium/israel-election-netanyahu-bloc-would-win-half-of-knessets-seats-poll-shows/00000182-3168-db9c-a5a2-fb6b48e90000,poll,poll,polls,Kan,Kan (Israeli public broadcaster),60,-0.2,0.9,deadlock,,0.4,no61,"The bloc of parties supporting opposition leader Benjamin Netanyahu is projected to win 60 of the Knesset's 120 seats in the November 1 election, public broadcaster Kan said in a poll released Sunday.","The bloc of parties supporting opposition leader Benjamin Netanyahu is projected to win 60 of the Knesset's 120 seats in the November 1 election, public broadcaster Kan said in a poll released Sunday.","Kan poll projects Netanyahu's bloc at 60 seats, one short of the 61-seat majority needed to form a government.",True,live,
121,2022-07-24,jpost.com,en,il_en,Israel's 25th Knesset elections: Ideological or strategic voting?,https://jpost.com/opinion/article-712946,opinion,author,media,Yael Yishai (inferred from bio),Jerusalem Post / independent analyst,,-0.5,0.7,opposition_forms_govt,,0.25,no61,"From my left-wing, liberal perspective, the last outcome I wish for in the approaching elections is a 61 seat (or more) victory for Benjamin Netanyahu, who would thus be able to form a Likud-ultra-Orthodox-Religious Zionist coalition, which embodies all the political nightmares I can think of.","From my left-wing, liberal perspective, the last outcome I wish for in the approaching elections is a 61 seat (or more) victory for Benjamin Netanyahu, who would thus be able to form a Likud-ultra-Orthodox-Religious Zionist coalition, which embodies all the political nightmares I can think of.","The author, a left-wing voter, strongly opposes Netanyahu reaching 61 seats and advocates strategic voting to prevent it; she notes that political observers agree Netanyahu will easily get 61 if Labor/Meretz fail to pass the threshold, but she believes voting strategically for Labor can help prevent this outcome.",True,live,
